ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS
SWA,,OCC-SWA-010,SWA-16,14,-11.05083,-171.09223,AMSM,Inactive
SWA,SWA-N,OCC-SWA-011,,14.3,-11.0456,-171.07612,AMSM,Inactive
SWA,SWA-W,OCC-SWA-012,,29.3,-11.0587,-171.09113,AMSM,Inactive
SWA,,OCC-SWA-013,SWA-03,15.1,-11.05761,-171.09133,AMSM,Inactive
SWA,,OCC-SWA-014,SWA-07,14.8,-11.05137,-171.06568,AMSM,Inactive
TAU,TAU-N,OCC-TAU-001,,25.6,-14.21085,-169.44061,AMSM,Active
TAU,TAU-N,OCC-TAU-002,TAU-04,14.9,-14.21179,-169.44093,AMSM,Active
TAU,TAU-N,OCC-TAU-003,,6.1,-14.21299,-169.44177,AMSM,Active
TAU,TAU-E,OCC-TAU-004,,24.4,-14.22716,-169.41812,AMSM,Active
TAU,TAU-E,OCC-TAU-005,TAU-07,14,-14.22736,-169.41818,AMSM,Active
TAU,TAU-E,OCC-TAU-006,,5.8,-14.22724,-169.41872,AMSM,Active
TAU,TAU-S,OCC-TAU-007,TAU-02,13.7,-14.25116,-169.44694,AMSM,Active
TAU,,OCC-TAU-008,TAU-08,13.7,-14.26257,-169.47475,AMSM,Active
TAU,TAU-W,OCC-TAU-010,,24.1,-14.25751,-169.50137,AMSM,Active
TAU,TAU-W,OCC-TAU-011,TAU-12,14.3,-14.25756,-169.50099,AMSM,Active
TAU,TAU-W,OCC-TAU-012,,6.1,-14.25734,-169.50025,AMSM,Active
TAU,,OCC-TAU-013,TAU-11,12.2,-14.21738,-169.51308,AMSM,Active
TAU,TAU-S,OCC-TAU-014,,6.1,-14.25075,-169.44661,AMSM,Inactive
TAU,,OCC-TAU-015,,14.3,-14.24403,-169.5089,AMSM,Inactive
TAU,,OCC-TAU-016,,0.2,-14.24403,-169.5089,AMSM,Inactive
TAU,,OCC-TAU-017,,9.8,-14.23545,-169.41908,AMSM,Inactive
TAU,,OCC-TAU-018,,0.3,-14.24372,-169.50944,AMSM,Inactive
TAU,,OCC-TAU-019,,0.3,-14.23567,-169.4189,AMSM,Inactive
TAU,,OCC-TAU-020,TAU-09,13.7,-14.2466,-169.50577,AMSM,Inactive
TAU,,OCC-TAU-021,TAU-10,13.7,-14.2147,-169.46818,AMSM,Inactive
TIM,,OCC-TIM-001,DIL-02,13.7,-8.55465,125.49912,CORALTRI,Inactive
TIM,,OCC-TIM-002,LAU-01,14.6,-8.34643,127.16095,CORALTRI,Inactive
TIM,,OCC-TIM-003,LAU-05,15.5,-8.41082,127.31222,CORALTRI,Inactive
TIM,,OCC-TIM-004,BAU-04,14.3,-8.41943,126.4268,CORALTRI,Inactive
TIM,,OCC-TIM-005,MAN-09,14.6,-8.47518,125.90668,CORALTRI,Inactive
TIM,,OCC-TIM-006,BOB-02,14.3,-8.85321,125.01319,CORALTRI,Inactive
TIM,,OCC-TIM-007,VIL-10,13.1,-8.22438,125.61686,CORALTRI,Inactive
TIM,,OCC-TIM-008,VIL-03,14.6,-8.30337,125.5585,CORALTRI,Inactive
TIM,,OCC-TIM-009,,6.1,-8.22429,125.6168,CORALTRI,Inactive
TIM,,OCC-TIM-010,,25,-8.22449,125.61684,CORALTRI,Inactive
TIM,,OCC-TIM-011,,4.9,-8.47532,125.90658,CORALTRI,Inactive
TIM,,OCC-TIM-012,,25.3,-8.34633,127.16093,CORALTRI,Inactive
TIM,,OCC-TIM-013,,4.6,-8.34661,127.16117,CORALTRI,Inactive
TIM,,OCC-TIM-014,LAU-07,11,-8.68429,126.98978,CORALTRI,Inactive
TIM,,OCC-TIM-015,MAF-01,14.6,-9.15203,125.82206,CORALTRI,Inactive
TIM,,OCC-TIM-016,,24.7,-8.5546,125.49897,CORALTRI,Inactive
TIM,,OCC-TIM-017,,6.1,-8.55484,125.49929,CORALTRI,Inactive
TIN,,OCC-TIN-001,TIN-06,12.2,15.08043,145.6214,CNMI,Active
TIN,TIN-E,OCC-TIN-002,TIN-01,18.3,15.03461,145.65132,CNMI,Active
TIN,TIN-E,OCC-TIN-003,,11,15.03475,145.65113,CNMI,Active
TIN,,OCC-TIN-004,TIN-02,13.1,14.94079,145.62794,CNMI,Active
TIN,,OCC-TIN-005,TIN-03,10.1,14.99062,145.60291,CNMI,Active
TIN,TIN-E,OCC-TIN-006,,5.8,15.03549,145.65074,CNMI,Inactive
TIN,,OCC-TIN-007,TIN-04,11.9,14.94783,145.66305,CNMI,Inactive
TUT,TUT-NE,OCC-TUT-001,,24.1,-14.24456,-170.66017,AMSM,Active
TUT,TUT-NE,OCC-TUT-002,TUT-72,14.6,-14.24473,-170.66011,AMSM,Active
TUT,TUT-NE,OCC-TUT-003,,6.1,-14.24558,-170.66046,AMSM,Active
TUT,,OCC-TUT-004,TUT-05,13.7,-14.25184,-170.62355,AMSM,Inactive
TUT,,OCC-TUT-005,TUT-17,12.8,-14.24606,-170.57182,AMSM,Active
TUT,TUT-E,OCC-TUT-006,,24.4,-14.28529,-170.56428,AMSM,Active
TUT,TUT-E,OCC-TUT-007,TUT-16,15.8,-14.28521,-170.56401,AMSM,Active
TUT,TUT-E,OCC-TUT-008,,5.5,-14.28531,-170.56387,AMSM,Active
TUT,,OCC-TUT-009,TUT-02,13.7,-14.27782,-170.60721,AMSM,Active
TUT,TUT-S,OCC-TUT-010,,24.7,-14.28866,-170.63454,AMSM,Active
TUT,TUT-S,OCC-TUT-011,,15.2,-14.28841,-170.63456,AMSM,Active
TUT,TUT-S,OCC-TUT-012,TUT-01,13.1,-14.28443,-170.63793,AMSM,Active
TUT,TUT-S,OCC-TUT-013,,0.6,-14.28308,-170.63879,AMSM,Active
TUT,,OCC-TUT-014,,25,-14.31097,-170.64228,AMSM,Active
TUT,,OCC-TUT-015,TUT-71,16.2,-14.33654,-170.70407,AMSM,Active
TUT,TUT-SW,OCC-TUT-016,,25,-14.36339,-170.76386,AMSM,Active
TUT,TUT-SW,OCC-TUT-017,TUT-75,14.3,-14.36347,-170.76314,AMSM,Active
TUT,TUT-SW,OCC-TUT-018,,5.8,-14.36311,-170.76305,AMSM,Active
TUT,TUT-SW,OCC-TUT-019,,0.9,-14.36261,-170.76287,AMSM,Active
TUT,TUT-W,OCC-TUT-020,TUT-06,14,-14.32808,-170.8319,AMSM,Inactive
TUT,TUT-NW,OCC-TUT-021,,25,-14.29448,-170.81198,AMSM,Active
TUT,TUT-NW,OCC-TUT-022,TUT-74,13.7,-14.29464,-170.812,AMSM,Active
TUT,TUT-NW,OCC-TUT-023,TUT-08,13.7,-14.29173,-170.78057,AMSM,Active
TUT,TUT-NW,OCC-TUT-024,,5.5,-14.29493,-170.81196,AMSM,Active
TUT,,OCC-TUT-025,TUT-19,15.5,-14.28323,-170.72801,AMSM,Active
TUT,TUT-N,OCC-TUT-026,,24.1,-14.28142,-170.72474,AMSM,Active
TUT,TUT-N,OCC-TUT-027,,15.5,-14.28152,-170.72462,AMSM,Active
TUT,TUT-N,OCC-TUT-028,,5.2,-14.28176,-170.72444,AMSM,Active
TUT,,OCC-TUT-029,TUT-13,14.6,-14.26046,-170.71187,AMSM,Active
TUT,TUT-S,OCC-TUT-030,,5.2,-14.28352,-170.63796,AMSM,Active
TUT,,OCC-TUT-031,,2.4,-14.29143,-170.68072,AMSM,Inactive
TUT,,OCC-TUT-032,,14.9,-14.28977,-170.67895,AMSM,Inactive
TUT,,OCC-TUT-033,,13.4,-14.29298,-170.67515,AMSM,Inactive
TUT,,OCC-TUT-034,,0.6,-14.29132,-170.68251,AMSM,Inactive
TUT,,OCC-TUT-035,,0.3,-14.2815,-170.72461,AMSM,Inactive
TUT,,OCC-TUT-036,,0.3,-14.36335,-170.76379,AMSM,Inactive
TUT,,OCC-TUT-037,,0.2,-14.3667,-170.76326,AMSM,Inactive
TUT,TUT-SW,OCC-TUT-038,,18.6,-14.3667,-170.76326,AMSM,Inactive
TUT,TUT-SSW,OCC-TUT-039,,32.6,-14.37496,-170.75804,AMSM,Inactive
TUT,,OCC-TUT-040,,0.2,-14.32833,-170.83349,AMSM,Inactive
TUT,TUT-W,OCC-TUT-041,,27.7,-14.32833,-170.83349,AMSM,Inactive
TUT,TUT-SSW,OCC-TUT-042,,22,-14.37493,-170.75826,AMSM,Inactive
TUT,,OCC-TUT-043,,0.2,-14.28366,-170.56227,AMSM,Inactive
TUT,TUT-E,OCC-TUT-044,,8.5,-14.28366,-170.56227,AMSM,Inactive
TUT,,OCC-TUT-045,,5.8,-14.25191,-170.62378,AMSM,Inactive
TUT,,OCC-TUT-046,,0.2,-14.28458,-170.72266,AMSM,Inactive
TUT,,OCC-TUT-047,,14.6,-14.28458,-170.72266,AMSM,Inactive
TUT,,OCC-TUT-048,,17.7,-14.27158,-170.72339,AMSM,Inactive
TUT,,OCC-TUT-049,,30.5,-14.27151,-170.72362,AMSM,Inactive
TUT,,OCC-TUT-050,,16.7,-14.36329,-170.76361,AMSM,Inactive
TUT,,OCC-TUT-051,,1.8,-14.33044,-170.70265,AMSM,Inactive
TUT,,OCC-TUT-052,,20.1,-14.36352,-170.76363,AMSM,Inactive
TUT,,OCC-TUT-053,,8.2,-14.28437,-170.72247,AMSM,Inactive
TUT,,OCC-TUT-054,,4.6,-14.36273,-170.7633,AMSM,Inactive
TUT,TUT-SW,OCC-TUT-055,,6.7,-14.36402,-170.762,AMSM,Inactive
TUT,TUT-SW,OCC-TUT-056,,20.1,-14.36451,-170.7626,AMSM,Inactive
TUT,,OCC-TUT-057,,0.3,-14.28428,-170.722,AMSM,Inactive
TUT,,OCC-TUT-058,TUT-09,10,-14.33608,-170.70438,AMSM,Inactive
TUT,,OCC-TUT-059,TUT-10,12.1,-14.31137,-170.69288,AMSM,Inactive
TUT,,OCC-TUT-060,TUT-14,14.1,-14.25372,-170.65259,AMSM,Inactive
TUT,,OCC-TUT-061,TUT-22,15,-14.36594,-170.76336,AMSM,Inactive
TUT,,OCC-TUT-062,,2.4,-14.29198134,-170.6786379,AMSM,Inactive
WAK,WAK-N,OCC-WAK-001,,25,19.31622,166.62725,PRIA,Active
WAK,WAK-N,OCC-WAK-002,WAK-23,13.4,19.31605,166.62722,PRIA,Active
WAK,WAK-N,OCC-WAK-003,,6.1,19.31575,166.62685,PRIA,Active
WAK,WAK-E,OCC-WAK-004,,25.3,19.30637,166.65149,PRIA,Active
WAK,WAK-E,OCC-WAK-005,WAK-24,14,19.30614,166.65109,PRIA,Active
WAK,WAK-E,OCC-WAK-006,,5.2,19.3064,166.65062,PRIA,Active
WAK,WAK-S,OCC-WAK-007,,25.6,19.27993,166.6284,PRIA,Active
WAK,WAK-S,OCC-WAK-008,WAK-01,15.2,19.28066,166.62779,PRIA,Active
WAK,WAK-S,OCC-WAK-009,,4.6,19.2811,166.62803,PRIA,Active
WAK,,OCC-WAK-010,,1.2,19.28868,166.61361,PRIA,Active
WAK,,OCC-WAK-011,WAK-06,12.8,19.29172,166.60743,PRIA,Active
WAK,WAK-W,OCC-WAK-012,,23.5,19.31629,166.598,PRIA,Active
WAK,WAK-W,OCC-WAK-013,WAK-08,13.4,19.31621,166.59826,PRIA,Active
WAK,WAK-W,OCC-WAK-014,,5.2,19.31622,166.59858,PRIA,Active
WAK,WAK-NE,OCC-WAK-015,,18.9,19.32583,166.60979,PRIA,Active
WAK,,OCC-WAK-016,,1.5,19.30863,166.60449,PRIA,Active
WAK,,OCC-WAK-017,,3,19.30736,166.62214,PRIA,Active
WAK,,OCC-WAK-018,,1.2,19.30092,166.63805,PRIA,Active
WAK,WAK-N,OCC-WAK-019,,20.7,19.31624,166.62724,PRIA,Inactive
WAK,,OCC-WAK-020,,18.3,19.30295,166.59486,PRIA,Inactive
WAK,WAK-S,OCC-WAK-021,,12.2,19.28033,166.62867,PRIA,Inactive
WAK,WAK-S,OCC-WAK-022,,19.8,19.28021,166.62839,PRIA,Inactive
WAK,WAK-SE,OCC-WAK-023,,20.4,19.27675,166.6572,PRIA,Inactive
WAK,WAK-E,OCC-WAK-024,,20.7,19.30636,166.65142,PRIA,Inactive
WAK,WAK-SE,OCC-WAK-025,,10.7,19.27666,166.65678,PRIA,Inactive
WAK,WAK-SE,OCC-WAK-026,,14.3,19.27666,166.65704,PRIA,Inactive
WAK,WAK-NE,OCC-WAK-027,,9.5,19.32546,166.60963,PRIA,Inactive
WAK,WAK-NE,OCC-WAK-028,,14.3,19.32571,166.60972,PRIA,Inactive
WAK,,OCC-WAK-029,WAK-09,14.4,19.27116,166.65115,PRIA,Inactive
WAK,,OCC-WAK-030,WAK-13,12.9,19.31576,166.64288,PRIA,Inactive
ZEA,,OCC-ZEA-001,,23.2,16.68974,145.85348,CNMI,Active
ZEA,,OCC-ZEA-002,,23.2,16.89743,145.85349,CNMI,Inactive
